customer_id,tenure_months,monthly_charges,support_tickets_90d,weekly_usage_hours,contract_type,internet_service,autopay,senior_citizen,churn
C00001,6,55.48,4,28.0,Month-to-month,Fiber,1,1,1
C00002,10,108.32,0,21.3,Month-to-month,DSL,0,1,1
C00003,62,83.4,1,33.9,Month-to-month,Fiber,0,0,0
C00004,21,48.98,1,28.7,Month-to-month,DSL,1,1,1
C00005,1,54.4,3,26.0,One year,Fiber,0,0,1
C00006,8,67.18,3,31.5,Month-to-month,DSL,1,1,0
C00007,66,74.87,2,22.9,Month-to-month,Fiber,1,0,1
C00008,67,82.16,2,22.3,Month-to-month,Fiber,0,1,0
C00009,12,71.95,1,18.3,Month-to-month,DSL,1,1,1
C00010,21,62.24,1,39.8,One year,Fiber,0,0,0
C00011,14,109.86,2,20.0,Month-to-month,DSL,0,1,0
C00012,36,68.81,0,16.6,Month-to-month,DSL,0,0,0
C00013,60,67.21,1,19.0,One year,Fiber,0,0,0
C00014,55,65.92,2,36.9,One year,Fiber,0,1,0
C00015,28,68.83,3,43.4,Two year,DSL,0,1,0
C00016,51,33.85,1,44.5,One year,None,0,1,0
C00017,19,43.91,2,37.0,One year,Fiber,0,0,0
C00018,66,140.49,1,41.5,Two year,None,0,1,0
C00019,43,25.79,1,33.2,Two year,Fiber,0,1,0
C00020,67,79.61,3,40.4,Two year,Fiber,1,1,0
C00021,19,81.59,2,40.2,One year,DSL,1,1,0
C00022,69,100.36,1,23.8,Two year,Fiber,1,0,0
C00023,21,82.27,1,18.9,Month-to-month,DSL,0,0,0
C00024,50,124.94,1,52.9,Two year,Fiber,1,1,0
C00025,4,78.71,1,35.8,Month-to-month,Fiber,0,1,1
C00026,17,109.74,0,48.7,Month-to-month,None,0,0,1
C00027,39,101.12,0,18.6,Month-to-month,Fiber,1,1,0
C00028,37,115.18,1,28.3,One year,DSL,0,1,1
C00029,10,72.7,0,14.7,Month-to-month,None,1,0,0
C00030,1,83.14,2,43.0,One year,DSL,1,0,1
C00031,61,61.66,0,25.4,Month-to-month,None,1,0,0
C00032,18,76.47,2,26.2,Month-to-month,None,1,1,0
C00033,55,78.02,3,61.4,Two year,Fiber,0,1,0
C00034,13,18.0,1,43.3,Month-to-month,DSL,1,0,0
C00035,21,67.99,1,43.2,One year,Fiber,0,1,1
C00036,2,96.92,1,17.2,Two year,DSL,1,1,0
C00037,39,34.19,3,8.0,Month-to-month,DSL,0,1,1
C00038,38,44.38,2,47.6,Month-to-month,Fiber,0,0,0
C00039,42,104.36,1,2.6,Month-to-month,DSL,0,1,1
C00040,54,109.61,1,27.0,Month-to-month,Fiber,0,1,0
C00041,48,54.62,0,22.6,One year,DSL,1,1,0
