customer_id,age,annual_income,purchase_frequency,avg_order_value,satisfaction
SEG0001,62,98841.84,32.51,71.35,3.27
SEG0002,61,108372.73,30.31,50.51,4.46
SEG0003,40,48182.55,8.09,203.86,3.64
SEG0004,26,50106.93,12.39,175.61,3.38
SEG0005,49,88483.69,27.81,141.12,4.37
SEG0006,57,117441.46,30.13,58.59,4.08
SEG0007,54,86897.81,29.15,55.6,4.87
SEG0008,37,85700.31,28.88,203.59,4.0
SEG0009,42,67521.52,21.31,117.98,3.85
SEG0010,21,33363.22,5.71,50.6,2.89
SEG0011,29,65090.09,9.6,216.47,2.7
SEG0012,18,41058.55,15.28,60.84,3.34
SEG0013,51,81346.86,28.24,110.43,4.31
SEG0014,62,111491.57,31.5,41.51,4.02
SEG0015,46,70904.72,28.66,95.19,4.81
SEG0016,22,40504.75,3.79,50.97,2.08
SEG0017,28,38199.72,13.61,36.85,2.22
SEG0018,49,66389.39,28.66,60.9,4.02
SEG0019,33,51696.66,7.95,181.33,3.24
SEG0020,32,59647.57,5.29,138.75,3.36
SEG0021,40,55324.47,24.4,104.69,4.16
SEG0022,46,70466.6,28.04,121.25,4.08
SEG0023,32,50184.82,2.49,131.47,4.0
SEG0024,35,46921.01,12.25,358.64,2.82
SEG0025,43,87366.63,19.48,86.34,4.63
SEG0026,43,68260.67,19.44,139.33,3.57
SEG0027,28,43054.33,6.64,166.71,3.07
SEG0028,40,53571.4,8.06,241.11,3.02
SEG0029,30,34458.45,5.91,50.91,2.61
SEG0030,45,101393.97,26.49,103.59,4.26
SEG0031,43,62433.35,17.9,128.14,4.62
SEG0032,64,102983.59,38.28,77.88,4.61
SEG0033,44,67708.26,20.93,102.01,3.98
SEG0034,39,38455.51,4.1,258.98,3.34
SEG0035,42,72738.05,33.73,146.02,4.31
SEG0036,59,105223.17,39.39,68.83,4.78
SEG0037,58,113936.26,38.82,65.29,4.9
SEG0038,29,23977.89,13.88,60.48,2.87
SEG0039,24,24185.17,12.56,34.31,2.06
SEG0040,35,58887.45,6.66,210.0,3.45
SEG0041,29,48442.09,1.53,255.6,4.75
SEG0042,34,63148.32,6.95,154.83,4.51
SEG0043,38,91296.94,26.86,163.95,4.17
SEG0044,27,45778.42,17.41,235.47,4.48
SEG0045,32,58681.37,2.86,221.44,4.5
SEG0046,38,68307.11,29.31,133.28,5.0
SEG0047,42,78965.83,27.27,99.23,3.62
SEG0048,50,39649.51,31.66,53.54,4.46
SEG0049,49,64719.68,28.76,84.81,3.89
SEG0050,38,29535.73,15.15,68.32,2.31
SEG0051,54,59893.09,33.17,81.26,5.0
SEG0052,42,42397.44,15.48,206.36,3.66
SEG0053,34,44780.11,3.2,230.18,3.07
SEG0054,33,48142.28,6.55,132.91,2.07
SEG0055,33,38482.85,1.0,49.14,2.6
SEG0056,26,60403.96,12.55,271.27,4.29
SEG0057,34,27210.79,10.07,48.82,3.18
SEG0058,56,86845.87,25.38,89.41,4.79
SEG0059,23,36438.29,8.64,31.89,3.1
SEG0060,18,32828.27,9.56,28.78,2.65
SEG0061,24,41697.44,14.02,47.19,1.38
SEG0062,40,69116.09,30.84,135.09,4.34
SEG0063,34,41392.69,15.84,50.41,2.38
SEG0064,37,51691.2,11.14,192.52,3.91
SEG0065,34,55613.4,3.21,206.76,3.7
SEG0066,27,18482.46,5.06,48.38,3.18
SEG0067,57,89375.24,36.21,75.18,5.0
SEG0068,56,90834.71,35.29,86.1,4.56
SEG0069,21,22385.51,3.85,38.73,2.64
