date,demand,promotion,holiday
2023-01-01,220.0,0,0
2023-01-02,247.0,0,0
2023-01-03,232.0,0,0
2023-01-04,287.0,1,0
2023-01-05,202.0,0,0
2023-01-06,189.0,0,0
2023-01-07,205.0,0,0
2023-01-08,204.0,0,0
2023-01-09,244.0,0,0
2023-01-10,242.0,0,0
2023-01-11,240.0,0,0
2023-01-12,207.0,0,0
2023-01-13,240.0,1,0
2023-01-14,258.0,1,0
2023-01-15,208.0,0,0
2023-01-16,232.0,0,0
2023-01-17,234.0,0,0
2023-01-18,221.0,0,0
2023-01-19,171.0,0,0
2023-01-20,183.0,0,0
2023-01-21,194.0,0,0
2023-01-22,227.0,0,0
2023-01-23,229.0,0,0
2023-01-24,239.0,0,0
2023-01-25,228.0,0,0
2023-01-26,216.0,0,0
2023-01-27,194.0,0,0
2023-01-28,202.0,0,0
2023-01-29,230.0,0,0
2023-01-30,248.0,0,0
2023-01-31,240.0,0,0
2023-02-01,253.0,0,0
2023-02-02,186.0,0,0
2023-02-03,205.0,0,0
2023-02-04,205.0,0,0
2023-02-05,237.0,0,0
2023-02-06,241.0,0,0
2023-02-07,244.0,0,0
2023-02-08,222.0,0,0
2023-02-09,198.0,0,0
2023-02-10,194.0,0,0
2023-02-11,192.0,0,0
2023-02-12,215.0,0,0
2023-02-13,233.0,0,0
2023-02-14,264.0,0,0
2023-02-15,228.0,0,0
2023-02-16,218.0,0,0
2023-02-17,197.0,0,0
2023-02-18,208.0,0,0
2023-02-19,278.0,1,0
2023-02-20,257.0,0,0
2023-02-21,261.0,0,0
2023-02-22,253.0,0,0
2023-02-23,207.0,0,0
2023-02-24,190.0,0,0
2023-02-25,256.0,1,0
2023-02-26,229.0,0,0
2023-02-27,311.0,1,0
2023-02-28,248.0,0,0
2023-03-01,243.0,0,0
2023-03-02,214.0,0,0
2023-03-03,198.0,0,0
2023-03-04,207.0,0,0
2023-03-05,247.0,0,0
2023-03-06,261.0,0,0
2023-03-07,269.0,0,0
2023-03-08,246.0,0,0
2023-03-09,239.0,0,0
2023-03-10,213.0,0,0
