area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,school_rating,neighborhood,garage_spaces,price
769.0,1,1,30,7.1,6.4,Urban,0,367007.0
1072.0,2,2,19,3.3,7.7,Rural,0,448348.0
1030.0,1,1,57,11.4,9.3,Suburban,2,377895.0
1951.0,2,2,44,5.1,6.3,Suburban,2,622276.0
2013.0,4,3,34,5.1,6.1,Urban,0,782718.0
3270.0,6,5,15,5.8,6.5,Rural,1,1146158.0
1745.0,4,3,9,2.5,7.1,Urban,1,778953.0
2264.0,4,3,17,20.1,7.9,Urban,1,830256.0
1897.0,3,2,49,10.9,7.0,Urban,2,783728.0
2213.0,3,3,3,3.1,10.0,Suburban,1,958728.0
1886.0,3,1,5,16.3,7.6,Urban,0,695637.0
2460.0,4,4,79,4.5,8.2,Urban,2,944395.0
1168.0,3,3,21,5.1,6.9,Suburban,2,529311.0
500.0,1,2,9,4.5,8.5,Suburban,0,407196.0
2050.0,3,3,77,14.5,6.7,Urban,2,715042.0
717.0,1,2,33,13.0,6.0,Suburban,2,348357.0
2587.0,4,3,0,5.9,8.4,Urban,2,1045072.0
1471.0,2,3,33,6.3,6.9,Urban,2,666086.0
1177.0,3,2,1,10.6,7.4,Urban,0,536161.0
3420.0,5,3,24,10.5,8.5,Rural,1,1175554.0
1789.0,4,4,75,6.5,7.2,Suburban,0,717710.0
1674.0,3,3,63,6.7,6.8,Urban,0,637130.0
2249.0,3,2,33,11.0,6.2,Urban,2,733867.0
2289.0,4,3,27,1.8,8.6,Urban,0,811878.0
2483.0,3,3,46,8.5,6.5,Suburban,0,907387.0
1000.0,1,1,50,8.2,6.9,Suburban,2,409181.0
2122.0,3,2,60,14.6,7.4,Urban,1,762558.0
1624.0,2,3,43,9.0,7.4,Rural,0,526213.0
1247.0,1,2,6,9.6,8.5,Urban,0,577079.0
1829.0,3,3,69,4.1,6.9,Urban,0,684287.0
713.0,1,1,26,4.3,9.1,Urban,2,487645.0
2354.0,3,3,65,8.4,6.6,Urban,2,838991.0
1626.0,2,2,64,1.1,7.6,Suburban,1,571328.0
1513.0,3,2,17,5.3,6.7,Suburban,2,617454.0
1717.0,3,1,41,2.7,10.0,Suburban,1,687891.0
1699.0,3,3,60,4.5,6.5,Urban,1,608694.0
2484.0,4,4,28,1.4,6.6,Urban,0,926722.0
1143.0,2,2,63,2.9,7.2,Urban,0,502548.0
