order_id,order_date,region,category,units,unit_price,discount_pct,revenue,cost,profit
ORD00342,2025-04-27 00:00:00,East,Sports,4,75.56,0.05,287.95,154.41,133.53
ORD02116,2025-03-19 00:00:00,North,Sports,1,44.23,0.09,40.4,28.03,12.38
ORD01653,2025-08-07 00:00:00,North,Home,2,118.7,0.08,218.09,153.31,64.78
ORD01295,2025-07-29 00:00:00,South,Sports,4,,0.02,191.65,104.56,87.1
ORD01270,2025-05-31 00:00:00,West,Grocery,2,25.0,0.08,46.07,34.94,11.13
ORD01931,2024-12-31 00:00:00,North,Clothing,6,54.92,0.05,314.29,217.17,97.12
ORD00978,2025-06-08 00:00:00,East,Clothing,3,71.55,0.22,166.87,92.22,74.65
ORD02143,2024-06-13 00:00:00,,Home,3,,0.03,299.06,206.36,92.7
ORD00021,2024-07-25 00:00:00,North,Home,4,103.66,0.02,407.09,225.16,181.93
ORD00677,2024-09-22 00:00:00,South,Grocery,7,14.02,0.03,95.0,70.28,24.72
ORD01684,2024-09-07 00:00:00,East,Home,3,104.13,0.09,283.18,156.05,127.13
ORD00198,2025-09-10 00:00:00,South,Grocery,6,,0.14,147.04,86.3,60.74
ORD00001,2024-10-30 00:00:00,North,Grocery,5,39.26,0.09,179.42,136.67,42.75
ORD00069,2025-11-01 00:00:00,South,Home,3,89.11,0.15,228.01,133.78,94.22
ORD00492,2025-09-10 00:00:00,North,Grocery,7,,0.11,183.74,129.28,54.46
ORD00401,2024-11-06 00:00:00,East,Electronics,1,159.59,0.12,140.76,83.2,57.56
ORD01725,2025-05-28 00:00:00,West,Clothing,5,42.27,0.01,209.17,122.67,86.5
ORD00345,2024-02-25 00:00:00,North,Home,3,88.54,0.11,236.75,184.35,52.4
ORD00668,2025-07-24 00:00:00,East,Clothing,5,52.96,0.04,253.03,168.75,84.28
ORD02097,2025-05-04 00:00:00,East,Sports,1,75.76,0.11,67.7,40.73,26.97
ORD00348,2025-12-19 00:00:00,South,Home,4,82.24,0.06,309.91,208.58,101.34
ORD00595,2025-07-20 00:00:00,South,Electronics,1,184.54,0.01,182.51,102.6,79.91
ORD00667,2025-06-29 00:00:00,North,Grocery,6,25.05,0.04,144.6,105.61,38.99
ORD00526,2025-07-17 00:00:00,South,Home,2,98.7,0.08,182.56,129.75,52.81
ORD01913,2024-03-14 00:00:00,East,Clothing,5,44.54,0.03,216.68,126.91,89.78
