timestamp,latency_ms,error_rate,throughput_rpm,cpu_pct,memory_pct,is_anomaly
2026-01-01 00:00:00,155.1,0.0209,1055.7,53.2,40.5,0
2026-01-01 00:15:00,134.52,0.0145,1158.7,54.1,46.3,0
2026-01-01 00:30:00,178.23,0.02,974.9,42.9,48.8,0
2026-01-01 00:45:00,172.42,0.0135,1194.2,64.9,37.8,0
2026-01-01 01:00:00,554.34,0.3493,1080.5,75.0,45.2,1
2026-01-01 01:15:00,161.77,0.0291,1123.9,34.3,36.8,0
2026-01-01 01:30:00,172.56,0.0338,1000.1,54.9,50.2,0
2026-01-01 01:45:00,181.74,0.0194,1063.4,64.4,39.5,0
2026-01-01 02:00:00,201.77,0.0507,1009.3,48.4,45.0,0
2026-01-01 02:15:00,157.75,0.0462,1076.6,46.2,46.2,0
2026-01-01 02:30:00,186.32,0.0067,979.5,42.3,38.3,0
2026-01-01 02:45:00,165.93,0.019,1012.4,54.0,47.6,0
2026-01-01 03:00:00,145.78,0.0086,1172.0,50.3,39.7,0
2026-01-01 03:15:00,189.83,0.0258,1072.6,42.5,57.7,0
2026-01-01 03:30:00,201.16,0.0109,1053.9,66.9,56.7,0
2026-01-01 03:45:00,192.26,0.026,1052.7,55.6,55.6,0
2026-01-01 04:00:00,177.27,0.0144,1092.1,50.5,48.4,0
2026-01-01 04:15:00,187.29,0.0412,981.1,66.1,49.7,0
2026-01-01 04:30:00,192.89,0.0218,1055.6,56.2,46.1,0
2026-01-01 04:45:00,190.62,0.009,824.8,48.8,51.1,0
2026-01-01 05:00:00,205.95,0.0401,938.2,53.6,58.8,0
2026-01-01 05:15:00,200.78,0.0246,925.0,47.4,40.5,0
2026-01-01 05:30:00,173.39,0.0068,909.9,50.3,50.5,0
2026-01-01 05:45:00,184.28,0.0697,998.3,57.6,35.4,0
2026-01-01 06:00:00,175.91,0.0504,890.6,64.5,44.5,0
2026-01-01 06:15:00,187.9,0.0306,888.7,46.6,46.9,0
2026-01-01 06:30:00,151.36,0.0057,845.1,55.2,49.6,0
2026-01-01 06:45:00,219.71,0.011,872.4,38.9,52.1,0
2026-01-01 07:00:00,169.77,0.0223,712.9,51.9,56.5,0
2026-01-01 07:15:00,174.57,0.023,831.3,64.4,37.6,0
2026-01-01 07:30:00,428.56,0.1745,754.4,64.7,53.5,1
2026-01-01 07:45:00,159.01,0.0442,961.5,47.7,60.0,0
2026-01-01 08:00:00,174.27,0.0054,861.4,46.3,44.8,0
