order_id,order_date,region,category,units,unit_price,discount_pct,revenue,cost,profit
ORD00605,2024-01-01,East,Home,1,97.65,0.13,85.2,62.77,22.43
ORD00655,2024-01-01,North,Sports,4,46.53,0.06,174.69,119.1,55.59
ORD00886,2024-01-01,North,Home,2,117.91,0.03,229.91,130.5,99.41
ORD01569,2024-01-02,South,Clothing,4,56.22,0.09,204.23,146.8,57.43
ORD01177,2024-01-03,West,Sports,4,50.85,0.05,193.31,108.05,85.27
ORD00061,2024-01-03,South,Sports,2,97.83,0.08,179.27,136.57,42.7
ORD00706,2024-01-03,North,Grocery,3,16.73,0.11,44.69,33.66,11.03
ORD00260,2024-01-04,South,Home,5,78.73,0.05,372.04,229.6,142.44
ORD02135,2024-01-04,South,Clothing,4,66.04,0.09,240.93,127.25,113.68
ORD00880,2024-01-05,East,Home,4,67.67,0.01,267.02,196.87,70.15
ORD01613,2024-01-05,East,Home,2,72.9,0.17,120.46,78.98,41.47
ORD00784,2024-01-05,West,Electronics,5,195.48,0.09,893.99,499.33,394.66
ORD01337,2024-01-05,South,Home,4,88.61,0.15,299.98,177.79,122.18
ORD00245,2024-01-05,South,Home,4,75.13,0.03,291.93,183.05,108.88
ORD00711,2024-01-05,West,Clothing,4,65.04,0.04,250.23,168.8,81.43
ORD02130,2024-01-05,West,Clothing,4,56.22,0.1,202.87,156.35,46.52
ORD00632,2024-01-05,South,Home,4,64.63,0.06,242.09,156.59,85.5
ORD01735,2024-01-05,North,Clothing,2,59.75,0.02,117.7,64.54,53.15
ORD00858,2024-01-05,North,Grocery,10,30.07,0.06,283.58,174.8,108.78
ORD00138,2024-01-06,East,Grocery,7,21.06,0.18,121.01,77.57,43.44
ORD00783,2024-01-06,West,Clothing,5,52.7,0.08,243.68,174.82,68.86
ORD01296,2024-01-07,East,Grocery,4,18.8,0.1,67.38,50.52,16.86
ORD00622,2024-01-08,East,Electronics,3,157.25,0.02,461.62,325.63,135.99
ORD00488,2024-01-08,East,Grocery,9,22.79,0.12,179.84,125.93,53.91
ORD01121,2024-01-10,North,Home,6,77.6,0.09,423.99,251.07,172.92
ORD01847,2024-01-10,West,Home,1,77.07,0.14,66.4,44.16,22.24
ORD00823,2024-01-10,West,Grocery,11,23.73,0.11,232.28,156.29,76.0
ORD00540,2024-01-10,North,Sports,1,65.33,0.03,63.31,37.52,25.79
ORD01390,2024-01-10,East,Sports,2,108.19,0.03,209.89,124.43,85.46
ORD00253,2024-01-10,South,Grocery,12,28.78,0.04,332.96,217.48,115.48
ORD01167,2024-01-10,West,Home,3,68.53,0.04,196.77,109.85,86.92
ORD01418,2024-01-11,West,Grocery,4,19.64,0.06,74.22,56.09,18.13
ORD00779,2024-01-11,West,Sports,3,97.62,0.06,276.1,162.45,113.65
ORD02069,2024-01-11,West,Sports,3,83.08,0.05,237.22,159.86,77.36
ORD00256,2024-01-12,South,Electronics,3,192.26,0.01,571.78,315.83,255.95
ORD01709,2024-01-12,North,Home,1,113.6,0.07,106.2,66.55,39.65
ORD01571,2024-01-12,East,Home,5,76.9,0.1,345.74,232.72,113.01
ORD00143,2024-01-12,South,Electronics,1,218.66,0.06,206.18,117.06,89.11
ORD01749,2024-01-13,North,Electronics,1,229.4,0.04,221.09,147.92,73.17
ORD01437,2024-01-13,South,Home,7,117.0,0.07,764.46,525.55,238.91
ORD01694,2024-01-13,East,Electronics,3,190.47,0.03,551.67,308.34,243.33
ORD00076,2024-01-13,South,Grocery,9,19.58,0.06,164.82,122.96,41.86
ORD00316,2024-01-14,East,Home,1,62.47,0.09,56.92,41.38,15.54
ORD01207,2024-01-14,East,Clothing,1,85.2,0.04,82.15,49.88,32.27
ORD02127,2024-01-14,North,Home,5,105.5,0.02,516.62,332.45,184.16
ORD01042,2024-01-15,North,Electronics,1,174.26,0.03,169.5,95.43,74.07
ORD01254,2024-01-15,West,Sports,1,63.15,0.1,57.07,42.66,14.41
ORD02120,2024-01-16,West,Electronics,4,152.51,0.01,602.93,470.14,132.8
ORD00415,2024-01-16,West,Clothing,5,40.65,0.05,192.49,109.61,82.88
ORD00472,2024-01-16,West,Grocery,13,26.25,0.06,320.25,200.1,120.14
ORD00108,2024-01-16,South,Sports,1,75.1,0.23,57.56,33.32,24.24
ORD01796,2024-01-16,North,Grocery,6,24.88,0.03,145.37,95.19,50.18
ORD01398,2024-01-16,North,Electronics,1,231.56,0.16,195.53,143.24,52.29
ORD00946,2024-01-17,East,Home,2,76.86,0.01,151.57,105.5,46.07
ORD01938,2024-01-17,South,Electronics,2,266.18,0.07,496.75,314.72,182.03
ORD00469,2024-01-18,South,Home,4,56.39,0.07,210.31,158.91,51.4
ORD00505,2024-01-18,South,Clothing,7,55.18,0.08,357.02,239.22,117.8
ORD02155,2024-01-18,South,Clothing,4,55.45,0.07,207.25,147.39,59.86
ORD01096,2024-01-18,North,Sports,2,86.67,0.1,156.63,112.91,43.72
ORD01639,2024-01-18,South,Electronics,1,205.83,0.22,159.65,84.93,74.73
ORD00406,2024-01-20,West,Sports,3,73.67,0.1,198.8,109.74,89.06
ORD00775,2024-01-20,West,Home,3,62.1,0.07,173.05,112.97,60.08
ORD00233,2024-01-20,West,Electronics,1,190.17,0.06,178.98,119.53,59.45
ORD01590,2024-01-20,North,Clothing,6,45.83,0.08,254.22,193.07,61.15
ORD00411,2024-01-21,West,Sports,1,58.68,0.04,56.36,37.97,18.39
ORD01825,2024-01-22,South,Grocery,9,27.95,0.08,232.15,135.29,96.85
ORD01605,2024-01-22,East,Home,5,73.35,0.03,354.47,259.0,95.46
ORD00582,2024-01-22,West,Electronics,1,213.65,0.08,196.09,116.69,79.39
ORD00338,2024-01-22,East,Clothing,3,45.61,0.14,117.91,84.61,33.31
ORD00887,2024-01-22,South,Home,3,79.3,0.05,226.34,141.99,84.35
ORD00852,2024-01-22,East,Clothing,3,52.56,0.09,144.2,99.32,44.88
ORD02040,2024-01-22,North,Home,2,78.61,0.01,156.01,100.55,55.46
ORD01644,2024-01-23,West,Sports,2,54.5,0.06,102.47,69.2,33.27
ORD01936,2024-01-23,West,Clothing,2,45.18,0.01,89.59,47.12,42.47
ORD00039,2024-01-23,North,Clothing,8,36.19,0.05,274.05,160.06,113.99
ORD02048,2024-01-24,North,Grocery,12,27.98,0.02,330.21,175.32,154.89
ORD01665,2024-01-24,North,Home,5,88.85,0.03,432.73,264.2,168.53
ORD00018,2024-01-24,East,Grocery,8,39.54,0.15,269.52,197.77,71.75
ORD00653,2024-01-25,East,Clothing,1,62.17,0.08,57.33,34.57,22.77
ORD00327,2024-01-25,South,Grocery,7,18.37,0.02,125.48,74.61,50.87
ORD01452,2024-01-25,East,Home,1,114.66,0.11,101.86,69.57,32.29
ORD00587,2024-01-26,East,Electronics,1,202.2,0.16,169.97,102.27,67.7
ORD01542,2024-01-26,East,Home,7,99.55,0.02,680.87,494.68,186.19
ORD02073,2024-01-26,South,Grocery,11,34.53,0.05,361.53,264.62,96.91
ORD00306,2024-01-27,South,Home,2,72.25,0.06,135.45,85.85,49.6
ORD01527,2024-01-27,South,Clothing,2,46.87,0.02,91.47,60.35,31.13
ORD01086,2024-01-28,North,Home,4,95.23,0.14,329.45,248.31,81.14
ORD01773,2024-01-28,North,Grocery,8,19.51,0.18,128.32,92.82,35.49
ORD00305,2024-01-28,West,Home,2,84.97,0.06,158.91,120.56,38.35
ORD00146,2024-01-28,East,Sports,2,74.11,0.1,134.03,79.74,54.29
ORD02012,2024-01-28,East,Clothing,4,54.53,0.02,214.6,139.17,75.42
ORD01625,2024-01-28,North,Electronics,1,121.84,0.05,115.22,82.66,32.56
ORD00092,2024-01-28,West,Grocery,10,29.62,0.11,264.34,202.78,61.56
ORD01244,2024-01-29,South,Grocery,13,15.99,0.09,189.43,118.61,70.81
ORD00501,2024-01-29,West,Home,1,95.02,0.02,92.72,62.39,30.33
ORD01427,2024-01-29,East,Home,3,84.17,0.1,227.58,140.3,87.28
ORD02064,2024-01-30,North,Home,4,89.18,0.1,320.47,232.26,88.21
ORD01830,2024-01-30,East,Home,5,43.93,0.03,212.72,130.2,82.52
ORD00511,2024-01-30,South,Grocery,10,24.11,0.02,236.86,143.98,92.88
ORD02034,2024-01-30,East,Electronics,1,144.52,0.11,128.12,97.78,30.34
ORD01957,2024-01-31,South,Grocery,12,21.87,0.06,246.79,169.0,77.79
ORD01733,2024-01-31,South,Clothing,6,60.53,0.12,320.9,182.88,138.02
ORD00953,2024-01-31,South,Sports,1,83.63,0.06,78.4,56.44,21.96
ORD01320,2024-02-01,West,Sports,1,83.33,0.08,76.34,43.92,32.42
ORD01073,2024-02-01,South,Grocery,8,19.52,0.09,141.47,83.33,58.15
ORD01685,2024-02-02,West,Home,1,106.32,0.07,99.03,57.13,41.89
ORD00425,2024-02-03,East,Sports,1,69.17,0.13,60.47,37.46,23.01
ORD00515,2024-02-03,North,Sports,4,62.11,0.07,231.44,138.42,93.02
ORD01848,2024-02-04,South,Grocery,9,34.44,0.07,288.02,166.6,121.42
ORD00491,2024-02-04,East,Grocery,5,21.09,0.05,99.97,58.78,41.19
ORD01180,2024-02-04,West,Electronics,1,140.0,0.02,137.77,97.74,40.04
ORD02134,2024-02-05,East,Grocery,9,14.01,0.17,104.91,54.98,49.93
ORD00789,2024-02-05,South,Clothing,4,48.8,0.04,186.62,109.99,76.62
ORD00747,2024-02-05,North,Electronics,1,181.36,0.04,174.19,113.3,60.89
ORD01586,2024-02-05,South,Home,4,72.9,0.08,268.65,192.06,76.59
ORD02157,2024-02-06,East,Clothing,2,55.56,0.07,103.47,68.61,34.86
ORD00218,2024-02-06,South,Grocery,8,25.38,0.09,184.58,116.86,67.72
ORD00132,2024-02-06,South,Grocery,7,22.49,0.02,153.63,91.59,62.04
ORD02141,2024-02-06,North,Home,4,95.82,0.09,347.06,218.91,128.14
ORD01840,2024-02-06,South,Home,3,84.64,0.07,235.68,129.36,106.31
ORD00496,2024-02-07,South,Home,1,60.14,0.03,58.62,39.59,19.03
ORD01276,2024-02-07,North,Home,1,78.53,0.04,75.03,56.76,18.27
ORD00829,2024-02-08,West,Grocery,14,25.64,0.05,340.78,178.17,162.61
ORD00330,2024-02-08,South,Grocery,6,30.08,0.02,176.21,128.26,47.95
ORD02002,2024-02-08,South,Sports,1,74.73,0.05,70.7,50.37,20.33
ORD01333,2024-02-09,East,Clothing,2,48.3,0.01,95.48,63.73,31.75
ORD00475,2024-02-09,South,Clothing,2,52.88,0.1,94.67,50.23,44.44
ORD00145,2024-02-10,East,Grocery,7,28.7,0.02,196.48,102.39,94.09
ORD01838,2024-02-10,North,Home,4,97.86,0.05,373.21,228.92,144.29
ORD00089,2024-02-10,East,Grocery,13,26.93,0.04,337.22,226.47,110.75
ORD00413,2024-02-10,East,Home,4,86.73,0.07,321.54,237.95,83.59
ORD02041,2024-02-10,North,Electronics,5,148.77,0.03,718.14,383.8,334.34
ORD01287,2024-02-11,East,Sports,1,82.07,0.08,75.53,56.82,18.71
ORD00971,2024-02-11,West,Electronics,2,214.42,0.06,401.73,256.39,145.34
ORD01080,2024-02-11,South,Sports,1,99.52,0.04,95.55,62.92,32.63
ORD00111,2024-02-11,East,Clothing,3,51.95,0.15,131.96,85.67,46.29
ORD02177,2024-02-12,South,Sports,8,90.45,0.09,657.25,501.45,155.81
ORD00746,2024-02-12,South,Electronics,1,159.14,0.04,152.58,117.36,35.22
ORD01162,2024-02-12,North,Grocery,10,23.72,0.06,222.5,172.42,50.08
ORD00957,2024-02-12,West,Home,2,91.47,0.06,172.87,132.46,40.41
ORD01169,2024-02-12,East,Home,3,93.19,0.02,273.63,152.4,121.23
ORD00813,2024-02-13,South,Grocery,12,28.59,0.05,324.73,176.09,148.64
ORD02173,2024-02-13,North,Electronics,2,150.53,0.01,296.94,160.44,136.51
ORD00140,2024-02-13,East,Home,3,82.96,0.02,243.29,136.6,106.69
ORD00441,2024-02-14,South,Clothing,2,55.47,0.1,99.84,52.07,47.78
ORD01143,2024-02-14,South,Grocery,8,22.42,0.08,165.79,114.42,51.37
ORD01633,2024-02-14,West,Home,4,86.77,0.02,339.26,213.77,125.48
ORD00828,2024-02-15,West,Grocery,11,17.58,0.04,186.58,129.61,56.97
ORD00325,2024-02-15,North,Electronics,3,232.28,0.04,670.68,415.81,254.87
ORD01370,2024-02-15,East,Grocery,7,26.24,0.0,183.36,132.08,51.28
ORD00212,2024-02-15,South,Home,5,69.55,0.18,284.96,175.35,109.61
ORD01389,2024-02-16,East,Clothing,3,54.09,0.09,148.43,104.76,43.67
