student_id,study_hours_per_week,attendance_pct,sleep_hours,prior_score,final_score,passed
S0001,5.8,72.4,7.2,66.7,91.9,1
S0002,3.0,81.0,8.6,82.7,78.6,1
S0003,6.8,62.7,7.1,38.4,70.3,1
S0004,7.2,65.9,7.6,48.5,81.3,1
S0005,1.1,100.0,6.9,56.0,63.7,1
S0006,2.5,67.8,6.8,87.0,64.2,1
S0007,5.5,69.9,6.1,71.7,78.8,1
S0008,4.5,100.0,7.5,78.0,80.7,1
S0009,5.2,100.0,6.1,53.2,84.8,1
S0010,3.4,69.1,7.7,53.4,68.4,1
S0011,7.0,77.9,8.2,73.8,89.6,1
S0012,6.8,85.8,7.4,68.8,88.9,1
S0013,5.3,100.0,6.7,75.1,88.2,1
S0014,7.6,71.1,7.5,65.6,92.9,1
S0015,6.2,79.3,6.7,71.6,79.6,1
S0016,3.4,90.6,8.0,70.1,70.8,1
S0017,6.0,86.8,5.0,78.1,92.7,1
S0018,3.2,77.9,6.6,78.5,72.2,1
S0019,7.0,80.5,4.8,46.9,72.0,1
S0020,5.1,66.9,5.4,38.8,70.9,1
S0021,4.8,79.4,8.5,81.0,87.3,1
S0022,3.8,79.1,8.0,83.4,71.0,1
S0023,7.8,84.6,6.2,54.7,89.4,1
S0024,4.9,75.9,5.3,43.8,74.7,1
S0025,4.3,87.2,3.7,69.3,77.5,1
S0026,4.5,93.1,6.4,80.1,86.8,1
S0027,6.3,83.7,9.7,91.4,87.4,1
S0028,6.0,85.9,7.5,74.7,89.7,1
S0029,6.1,82.6,6.4,63.2,81.2,1
S0030,6.1,82.0,7.5,56.4,79.6,1
S0031,9.7,74.1,5.3,68.1,100.0,1
S0032,4.3,85.5,6.7,64.1,85.8,1
S0033,4.1,80.9,7.1,54.8,83.8,1
S0034,3.5,100.0,6.9,94.6,92.6,1
S0035,6.5,99.3,7.9,91.2,96.7,1
S0036,7.6,86.2,7.4,82.8,98.7,1
S0037,5.0,73.6,7.7,56.0,80.9,1
S0038,3.4,69.8,6.2,79.1,74.7,1
S0039,3.5,95.1,8.0,76.3,80.6,1
S0040,6.6,84.9,8.8,73.8,96.1,1
S0041,6.8,87.3,5.9,84.2,91.9,1
S0042,6.3,62.8,6.0,76.3,79.5,1
S0043,3.8,92.2,8.5,77.6,79.1,1
