phase,lesson,title,level,estimated_minutes,status,first_completed,review_1_day,review_1_week,review_1_month,assessment_score,notes
1,1,"Python, Jupyter, Variables, and Types",Foundation,75,Not Started,,,,,,
1,2,Strings and Core Collections,Foundation,90,Not Started,,,,,,
1,3,Control Flow and Iteration,Foundation,75,Not Started,,,,,,
1,4,"Functions, Scope, and Comprehensions",Foundation,100,Not Started,,,,,,
1,5,"Files, Paths, CSV, and JSON",Foundation,90,Not Started,,,,,,
1,6,"Exceptions, Debugging, and Logging",Practitioner,90,Not Started,,,,,,
1,7,Object-Oriented Design and Data Classes,Practitioner,105,Not Started,,,,,,
1,8,"Iterators, Generators, Decorators, and Context Managers",Advanced,110,Not Started,,,,,,
1,9,"Typing, Testing, Clean Code, and Packaging",Advanced,120,Not Started,,,,,,
2,1,"NumPy Arrays, Shape, Dtypes, and Memory",Foundation,90,Not Started,,,,,,
2,2,"Indexing, Masking, Vectorization, and Broadcasting",Practitioner,105,Not Started,,,,,,
2,3,"Aggregation, Randomness, Linear Algebra, and Performance",Advanced,110,Not Started,,,,,,
2,4,"Pandas Series, DataFrames, and Data Input",Foundation,95,Not Started,,,,,,
2,5,"Selection, Filtering, Sorting, and Transformation",Practitioner,100,Not Started,,,,,,
2,6,"Missing Values, Duplicates, Strings, and Categories",Practitioner,115,Not Started,,,,,,
2,7,"GroupBy, Aggregation, Pivoting, Merging, and Reshaping",Practitioner,120,Not Started,,,,,,
2,8,"Dates, Time Series, Rolling Windows, and Performance",Advanced,120,Not Started,,,,,,
3,1,Visualization Principles and Chart Selection,Foundation,85,Not Started,,,,,,
3,2,Matplotlib Fundamentals and Composition,Foundation,100,Not Started,,,,,,
3,3,Distributions and Relationships,Practitioner,100,Not Started,,,,,,
3,4,Statistical Visualizations and Correlation Displays,Practitioner,105,Not Started,,,,,,
3,5,Time-Series and Interactive Visualization Concepts,Practitioner,100,Not Started,,,,,,
3,6,"Dashboards, Storytelling, and Accessibility",Advanced,110,Not Started,,,,,,
4,1,Descriptive Statistics and Robust Summaries,Foundation,100,Not Started,,,,,,
4,2,"Probability, Conditional Probability, and Bayes' Rule",Foundation,110,Not Started,,,,,,
4,3,Random Variables and Probability Distributions,Foundation,105,Not Started,,,,,,
4,4,"Sampling, Law of Large Numbers, and Central Limit Theorem",Practitioner,110,Not Started,,,,,,
4,5,Confidence Intervals and Hypothesis Testing,Practitioner,120,Not Started,,,,,,
4,6,"t-Tests, Chi-Square, ANOVA, and Nonparametric Tests",Practitioner,130,Not Started,,,,,,
4,7,"Covariance, Correlation, Confounding, and Causality",Practitioner,115,Not Started,,,,,,
4,8,Linear Algebra for Machine Learning,Practitioner,130,Not Started,,,,,,
4,9,"Calculus, Gradients, and Optimization",Advanced,135,Not Started,,,,,,
5,1,"Business Framing, Unit of Analysis, and Data Dictionary",Foundation,100,Not Started,,,,,,
5,2,Data-Quality Audit and Schema Validation,Foundation,110,Not Started,,,,,,
5,3,"Univariate, Bivariate, and Multivariate Analysis",Practitioner,120,Not Started,,,,,,
5,4,"Missing Data, Outliers, and Transformations",Practitioner,130,Not Started,,,,,,
5,5,"Feature-Target Analysis, Leakage, Bias, and Drift",Advanced,125,Not Started,,,,,,
5,6,"EDA Reporting, Decisions, and Modelling Recommendations",Advanced,110,Not Started,,,,,,
6,1,Problem Formulation and Baseline Models,Foundation,100,Not Started,,,,,,
6,2,"Train, Validation, Test, Group, and Time Splits",Foundation,115,Not Started,,,,,,
6,3,"Imputation, Encoding, Scaling, and Feature Engineering",Practitioner,125,Not Started,,,,,,
6,4,"Scikit-learn Estimators, Pipelines, and ColumnTransformer",Practitioner,120,Not Started,,,,,,
6,5,Regression and Classification Metrics,Practitioner,135,Not Started,,,,,,
6,6,"Underfitting, Overfitting, Bias-Variance, and Regularization",Practitioner,120,Not Started,,,,,,
6,7,Cross-Validation and Hyperparameter Search,Advanced,130,Not Started,,,,,,
6,8,"Imbalance, Thresholds, Calibration, and Error Analysis",Advanced,145,Not Started,,,,,,
7,1,Simple Linear Regression from First Principles,Foundation,115,Not Started,,,,,,
7,2,Multiple Regression and Diagnostics,Practitioner,130,Not Started,,,,,,
7,3,"Polynomial Regression, Ridge, Lasso, and Elastic Net",Practitioner,135,Not Started,,,,,,
7,4,K-Nearest Neighbours,Foundation,105,Not Started,,,,,,
7,5,Logistic Regression from First Principles,Practitioner,135,Not Started,,,,,,
7,6,Naive Bayes and Linear Discriminant Analysis,Practitioner,110,Not Started,,,,,,
7,7,Decision Trees and Pruning,Practitioner,130,Not Started,,,,,,
7,8,Random Forests and Extra Trees,Practitioner,125,Not Started,,,,,,
7,9,Gradient Boosting and XGBoost Concepts,Advanced,140,Not Started,,,,,,
7,10,Support Vector Machines and Kernels,Advanced,130,Not Started,,,,,,
7,11,"Voting, Bagging, Boosting, and Stacking",Advanced,130,Not Started,,,,,,
7,12,"Explainability: Importance, PDP, ICE, and SHAP Concepts",Advanced,145,Not Started,,,,,,
8,1,"Distance, Scaling, and Cluster Validation",Foundation,105,Not Started,,,,,,
8,2,K-Means from First Principles,Practitioner,130,Not Started,,,,,,
8,3,Hierarchical Clustering and DBSCAN,Practitioner,130,Not Started,,,,,,
8,4,Gaussian Mixture Models and Soft Clustering,Advanced,125,Not Started,,,,,,
8,5,Principal Component Analysis from First Principles,Practitioner,140,Not Started,,,,,,
8,6,t-SNE and UMAP Concepts,Advanced,115,Not Started,,,,,,
8,7,Anomaly Detection,Advanced,135,Not Started,,,,,,
8,8,Association Rules and Market-Basket Analysis,Practitioner,110,Not Started,,,,,,
9,1,"PyTorch Tensors, Devices, and Autograd",Foundation,105,Not Started,,,,,,
9,2,"Neurons, Activations, Outputs, and Losses",Foundation,120,Not Started,,,,,,
9,3,Backpropagation from First Principles,Practitioner,135,Not Started,,,,,,
9,4,"Datasets, DataLoaders, Training Loops, and Optimizers",Practitioner,145,Not Started,,,,,,
9,5,Feed-Forward Networks for Tabular Data,Practitioner,140,Not Started,,,,,,
9,6,"Initialization, Normalization, Dropout, Schedules, and Early Stopping",Advanced,140,Not Started,,,,,,
9,7,Convolutional Neural Networks,Practitioner,160,Not Started,,,,,,
9,8,Transfer Learning and Fine-Tuning,Advanced,120,Not Started,,,,,,
9,9,"RNNs, LSTMs, and GRUs",Advanced,150,Not Started,,,,,,
9,10,Attention from First Principles,Advanced,155,Not Started,,,,,,
9,11,Transformer Encoders and Text Classification,Advanced,165,Not Started,,,,,,
9,12,"Deep-Learning Debugging, Evaluation, Reproducibility, and Serving",Advanced,150,Not Started,,,,,,
10,1,"Production Project Structure, Configuration, Logging, and Typing",Practitioner,120,Not Started,,,,,,
10,2,"Data Contracts, Validation, and Testing Strategy",Practitioner,130,Not Started,,,,,,
10,3,"Experiment Tracking, Reproducibility, and Model Registry",Advanced,125,Not Started,,,,,,
10,4,"Serialization, Batch Inference, and Feature Parity",Advanced,130,Not Started,,,,,,
10,5,FastAPI Model Serving and API Design,Advanced,145,Not Started,,,,,,
10,6,"Containers, CI/CD, and Release Safety",Advanced,140,Not Started,,,,,,
